,Director_Avg_Movie_Revenue,Keywords_Avg_Revenue,Studios_Avg_Movie_Revenue,Lead_Actor_Avg_Movie_Revenue,Budget,Class
944,23614277.5,63510720.93,237447956.85,310595403.0,40000000.0,0
945,55713297.86,57951591.83,111902076.61,104064713.33,43000000.0,1
946,192789436.75,97112955.49,141026695.61,153264634.94,43000000.0,0
947,61313051.67,48748906.27,113265461.0,173075277.64,43000000.0,1
948,162639035.5,97174173.62,125639966.37,336236139.85,42000000.0,1
949,51402493.25,82559702.08,134361844.76,51367178.5,44000000.0,1
950,135142400.0,46629147.61,46273191.76,41493333.25,40000000.0,1
951,211005136.0,101353308.02,151055460.12,135146923.33,42000000.0,1
952,87866790.67,131320139.59,124807879.64,258201437.8,42000000.0,1
953,41900000.0,113698360.05,152176544.88,118223549.24,40000000.0,1
954,169051303.0,118779214.95,310095739.475,153264634.94,43000000.0,1
955,123185625.86,75530640.79,133901392.36,64699323.0,42000000.0,1
956,39759124.33,206009215.25,92271247.05,16195811.75,42000000.0,1
957,37393799.5,39563067.6,81821154.58,0.0,42000000.0,0
958,25962793.67,64110854.33,60896130.65,29529022.64,32000000.0,1
959,88190455.4,40274089.93,144695944.19,146984092.33,42000000.0,0
960,83298631.17,109537552.99,143400142.17,68046422.0,42000000.0,1
961,28386717.0,74935569.21,91764164.31,89511467.08,42000000.0,1
962,68479617.25,68662673.82,32401938.59,122950629.14,50000000.0,0
963,18446860.5,60756976.51,45749221.11,125152977.5,40000000.0,0
964,69191977.0,49177729.88,136118597.0,164234264.75,44000000.0,0
965,57829809.5,123742007.5,137330070.03,215000000.0,41000000.0,1
966,96423653.25,106828384.66,115111624.14,93177294.6,65000000.0,1
967,272483881.11,218697005.91000003,170021308.77,154796103.74,40000000.0,1
968,46221189.0,96636941.46,94178339.04,338393100.125,42000000.0,1
969,173090726.5,68843368.97,176144803.43,145605792.33,41000000.0,0
970,104025352.5,113664653.41,166483286.21,90815558.0,8000000.0,1
971,96795503.38,173911077.15,189598412.23,272686501.69,40000000.0,1
972,137074624.8,206885457.83,200538599.02,153264634.94,40000000.0,1
973,107878284.67,111605331.64,152176544.88,180553337.25,70000000.0,1
974,276201692.46,218697005.91000003,246968040.91,218941312.67,40000000.0,1
975,314035182.495,205422942.85,226546319.51,338393100.125,40000000.0,1
976,68348148.83,119771669.83,58846779.42,139307821.8,38000000.0,1
977,118419909.3,70961715.79,127538990.87,109688276.67,40000000.0,1
978,201689733.0,114234339.0,119219630.48,56487931.82,40000000.0,1
979,208970653.17,148333332.12,143979010.26,173730021.79,40000000.0,1
980,79800797.75,60582675.71,105422709.57,313041883.04,40000000.0,1
981,314035182.495,218697005.91000003,239320814.72,92775188.5,40000000.0,1
982,219952531.11,164411712.87,127593100.62,222737562.5,40000000.0,1
983,77584735.25,107406715.1,144732445.11,176706475.12,40000000.0,1
984,98573249.6,118574034.21,58846779.42,105591306.5,45000000.0,1
985,76479428.1,143405206.5,83091137.89,88107905.14,40000000.0,1
986,276201692.46,110981176.26,246968040.91,218941312.67,40000000.0,1
987,111811453.0,111337643.51,119171846.48,117210137.0,40000000.0,1
988,190180997.0,81577214.29,127037987.29,156918210.79,40000000.0,1
989,96423653.25,65101245.28,143368055.5,63465905.5,40000000.0,1
990,177929399.67,50852111.24,93299559.56,142334459.0,40000000.0,1
991,109094252.5,102749325.68,135151412.07,187572196.35,35000000.0,1
992,90605046.0,156425917.47,164384813.33,90425908.29,40000000.0,1
993,249735494.4,182062325.35,181004748.38,89511467.08,35000000.0,1
994,115700925.0,81239862.49,102109020.22,51515226.75,40000000.0,1
995,112188574.0,91006817.75,59060719.91,92195150.2,40000000.0,1
996,64778567.0,65884203.87,94757144.05,131198105.14,40000000.0,1
997,68348148.83,81502792.91,71617645.97,98835200.6,40000000.0,1
998,151161491.0,115341992.68,154655051.8,145576100.89,40000000.0,1
999,87866790.67,74614089.39,92938818.4,92555158.0,40000000.0,1
1000,109094252.5,91787214.15,177287506.46,70534930.0,40000000.0,1
1001,53821109.2,100449808.13,107944972.63,100342501.2,40000000.0,1
1002,314035182.495,101571700.35,120437019.63,193873456.07,34000000.0,1
1003,51402493.25,99077371.12,106358825.82,51367178.5,20000000.0,1
1004,127586016.75,179635971.79,187034349.73,173075277.64,40000000.0,1
1005,111005410.33,160586583.33,153336510.17,186167139.0,40000000.0,1
1006,314035182.495,133618406.89,190163724.06,313041883.04,40000000.0,1
1007,139138854.67,141763258.82,149192025.39,145605792.33,40000000.0,1
1008,125205688.6,63275637.76,128480829.0,133311498.67,36547234.16992855,1
1009,53446749.8,163182740.6,174928684.29,54682547.0,40000000.0,1
1010,87840042.0,218697005.91000003,97211610.83,29280014.0,40000000.0,1
1011,74014772.0,133377528.73,67245796.21,109688276.67,40000000.0,1
1012,314035182.495,83980639.47,305198620.71,315569059.75,40000000.0,1
1013,106817699.25,148615425.05,178138103.27,56298716.25,42000000.0,1
1014,74597643.0,117556081.93,66337685.33,121717147.78,40000000.0,1
1015,314024903.33,116683902.11,135923356.19,120175290.0,40000000.0,1
1016,74595517.0,105553744.65,135162581.34,44392293.67,40000000.0,1
1017,113172476.0,44674075.12,128803140.26,43209878.0,40000000.0,0
1018,36282464.25,58645798.66,94272546.15,266429178.43,40000000.0,1
1019,114830111.0,90662028.2,116005753.22,165619830.07,40000000.0,1
1020,49951228.67,84007814.5,88055805.23,92796973.33,43000000.0,1
1021,25927437.5,50118647.14,256171936.79,75103524.0,25000000.0,1
1022,84601681.0,66137972.83,173151634.01,84601681.0,40000000.0,1
1023,125602944.4,48998654.32,143368055.5,22335242.25,40000000.0,1
1024,60925606.64,85885838.34,99046656.94,142334459.0,40000000.0,1
1025,141591324.0,89246837.9,96540423.97,68004941.8,40000000.0,1
1026,314035182.495,104093327.21,184596580.93,83460959.33,36000000.0,1
1027,95188259.12,59903950.16,54261472.18,104064713.33,40000000.0,0
